index,id,tweets,likes,time
0,1531363129954865153,"Educação que dá resultado. Aisha Ellen Lemos Paz, de 19 anos, ex-aluna da nossa rede estadual de ensino, foi aprovada em duas universidades dos Estados Unidos com bolsa integral: a Dartmouth College e Wellesley College. (cont) https://t.co/FQHo2OngbV",85,2022-05-30 19:53:16
1,1531329326033027072,@kevinwtung @Harvard @MikeBloomberg @Princeton @JeffBezos @Penn @elonmusk @BrownUniversity @TedTurnerIII @Yale @SSchwarzman @dartmouth @Cornell @RFS_Vista @Columbia @WarrenBuffett Does this mean anything anymore? = No,0,2022-05-30 17:38:56
2,1531327119535616002,"Top entrepreneurs from each Ivy:
@Harvard = @MikeBloomberg 
@Princeton = @JeffBezos 
@penn = @elonmusk 
@BrownUniversity = @TedTurnerIII 
@Yale = @SSchwarzman 
@dartmouth = Leon Black
@Cornell = @RFS_Vista 
@Columbia = @WarrenBuffett",0,2022-05-30 17:30:10
3,1531325247533686787,"Thank you 🇺🇸 

#biggreen #dartmouthwsoccer @ Dartmouth College https://t.co/zmF5aWSsYu",5,2022-05-30 17:22:44
4,1531313829308731395,"“For the first time, researchers from Dartmouth College used modern technology to accurately record how the individual male wood frog’s mating calls contribute to the amphibian choir as a whole.""

https://t.co/Ja9JcqSpB1 https://t.co/KIDCAWA26P",1,2022-05-30 16:37:21
5,1531313453650018304,"Another implied death threat over weaponizing Russell Wilson + Ciara by @Broncos. Just keeping it classy, Slivka. CC: @dartmouth",0,2022-05-30 16:35:52
6,1531306952546037761,@Classics22FSP @dartmouth @villadestepark Wow!,0,2022-05-30 16:10:02
7,1531305995258953732,"Cast your vote today! 
@QueensUGlobal @dartmouth @durham_uni @otago @queensu @uni_tue @UU_University @uwanews https://t.co/YFpR94jx4Z",0,2022-05-30 16:06:14
8,1531283946813550592,@dartmouth @neal_katyal thank you 💖💪,0,2022-05-30 14:38:37
9,1531257292393521154,"New artwork for sale! - ""Dartmouth College Dog"" - https://t.co/0vF6p1BA2h @fineartamerica https://t.co/wTV8fTX5xB",0,2022-05-30 12:52:42
10,1531245161996500992,"Vintage First Day of Issue Postage Stamps American Legion, Dartmouth College, Easter Seal Society, Women's Right To Vote, United Nations, UN https://t.co/RWo8nb5jCA via @Etsy",0,2022-05-30 12:04:30
11,1531239140871786496,"Your perceived failure can become the catalyst for profound reinvention.
– Conan O'Brien, ""Dartmouth College Commencement Address,"" 2011",9,2022-05-30 11:40:34
12,1531235666687934464,"Neural Mechanisms Online
(website)

3 June 2022
Webinar
h14-16 Greenwhich Mean Time / 16-18 CEST

JOIN at https://t.co/QipI5OqBZg

James V Haxby et al.
(Dartmouth College)

Hyperalignment: Modeling shared information encoded in idiosyncratic cortical topographies",0,2022-05-30 11:26:46
13,1531228929620467712,"A team of researchers at Dartmouth College has built an AI model that's able to determine if somebody has a mental disorder based on their Reddit posts.

https://t.co/ITZ7gfMLa5 https://t.co/LceSfq8VDp",3,2022-05-30 11:00:00
14,1531228905293611008,"Representing the Arctic Internationally: Interview with Anne Husebekk, Kirsi Latola and Melody Brown Burkins https://t.co/XPQsdNKKOv  @uarctic @DartArctic @dartmouth @ISC",6,2022-05-30 10:59:54
15,1531202073030668288,@coursera @Google @HubSpotAcademy @dartmouth I have paid fees for one month course on 02.05.2022 and till date have not received any study material. Full month is over and to all my mail and tweets to @coursera I am awaiting solution based response. Am now going to file a fraud case soon.,0,2022-05-30 09:13:17
16,1531189953715126272,"The UK Government announced a new scheme enabling graduates of the world's leading universities to live and work in the UK--a truly life-changing experience.  Sadly, @dartmouth, my alma mater,  isn't among them.  Hopefully they'll get there in future!
https://t.co/ZWUN7FCVoJ",0,2022-05-30 08:25:07
17,1531155810788773888,"in the afternoon, @dartmouth students experienced a different kind of #villa: the amazing Renaissance &amp; Baroque @villadestepark, ft hundreds of fountains designed by the likes of Ligorio &amp; Bernini (+ a water organ that plays at 2:30!), all powered by gravity-fall #fountains! 
2/ https://t.co/DXFkbokpeG",5,2022-05-30 06:09:27
18,1531112144590209024,"Don’t donate to @dartmouth (or any of these other schools if you are an alum).
I don’t have confidence Dartmouth is spending money appropriately or promoting academic debate and free speech. Some day I’ll do a Twitter Space where I will describe the mess that is Dartmouth College",0,2022-05-30 03:15:56
19,1531112004487897088,"Good question… They are bubbles.
It’s getting worse every year. Dartmouth has turned away from free speech &amp; enforced draconian Covid policies. They will be getting a new College President…Phil Hanlon was a disaster, but knowing @dartmouth, they’ll probably pick some woke hack. https://t.co/RrMlItwFSp",1,2022-05-30 03:15:23
20,1531100154605887489,@Read_The_Rheum @dartmouth Congratulations!!!,1,2022-05-30 02:28:17
21,1531090384192929792,"Harvard University student newspaper survey of graduates finds very few lean conservative

They don’t drink the Woke Koolaid at these schools, It’s administered via IV

⁦@Harvard⁩ ⁦@Yale⁩ ⁦@Princeton⁩ ⁦@Cornell⁩ ⁦@dartmouth⁩

https://t.co/Vkw9zqaQVF",0,2022-05-30 01:49:28
22,1531085369122357248,"474th Bouncing Around the Room
Last played: 2021-10-22 at Ak-chin Pavilion 
Gap: 24
First played: 1990-01-20 at Webster Hall, Dartmouth College 
https://t.co/f1X2ck1gkE

#phish #phishstats #phishcompanion",1,2022-05-30 01:29:32
23,1531073003743809537,@ChrisLandauUSA @landau_caroline A ver cuando lo podemos ver por acá por @dartmouth #UpperValley amigo de México. Saludos y buena noche.,1,2022-05-30 00:40:24
24,1531063203618242561,@markbnardo @dartmouth Thank you Dr. Bernardo!,0,2022-05-30 00:01:28
